Protocol,Sector,Source,Year,GHG Emissions (mt CO2e)
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2007,56153.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2008,56458.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2009,57695.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2010,59137.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2011,56801.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2012,55289.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2013,56921.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2014,58882.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2015,59779.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2016,53148.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2017,56338.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2018,57390.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2019,55320.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2005,71503.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2006,57175.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2007,67421.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2008,67423.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2009,62015.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2010,62054.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2011,58497.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2012,54730.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2013,55757.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2014,56429.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2015,56116.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2016,53090.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2017,49756.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2018,48140.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2019,45999.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2005,6984.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2006,7009.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2007,7106.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2008,7253.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2009,7105.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2010,7393.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2011,8135.00
